model,threshold,precision,recall,f1
LSG,0.352,0.5402,0.9075,0.6773
LSG,0.352,0.5406,0.9075,0.6775
LSG,0.352,0.5409,0.9075,0.6778
LSG,0.353,0.5406,0.9064,0.6773
LSG,0.353,0.5403,0.9054,0.6768
LSG,0.354,0.5407,0.9054,0.677
LSG,0.355,0.5404,0.9044,0.6765
LSG,0.356,0.5401,0.9033,0.676
LSG,0.357,0.5398,0.9023,0.6755
LSG,0.359,0.5395,0.9012,0.675
LSG,0.361,0.5399,0.9012,0.6752
LSG,0.362,0.5396,0.9002,0.6747
LSG,0.363,0.5399,0.9002,0.675
LSG,0.363,0.5402,0.9002,0.6752
LSG,0.365,0.54,0.8992,0.6747
LSG,0.366,0.5397,0.8981,0.6742
LSG,0.368,0.5394,0.8971,0.6737
LSG,0.369,0.5397,0.8971,0.674
LSG,0.369,0.5394,0.896,0.6734
LSG,0.371,0.5398,0.896,0.6737
LSG,0.372,0.5401,0.896,0.674
LSG,0.372,0.5398,0.895,0.6734
LSG,0.372,0.5402,0.895,0.6737
LSG,0.372,0.5399,0.894,0.6732
LSG,0.373,0.5396,0.8929,0.6727
LSG,0.373,0.5399,0.8929,0.6729
LSG,0.373,0.5403,0.8929,0.6732
LSG,0.374,0.54,0.8919,0.6727
LSG,0.375,0.5397,0.8909,0.6722
LSG,0.375,0.5394,0.8898,0.6716
LSG,0.376,0.5391,0.8888,0.6711
LSG,0.377,0.5388,0.8877,0.6706
LSG,0.377,0.5391,0.8877,0.6709
LSG,0.377,0.5395,0.8877,0.6711
LSG,0.378,0.5392,0.8867,0.6706
LSG,0.379,0.5395,0.8867,0.6709
LSG,0.381,0.5399,0.8867,0.6711
LSG,0.381,0.5396,0.8857,0.6706
LSG,0.381,0.5399,0.8857,0.6709
LSG,0.382,0.5403,0.8857,0.6711
LSG,0.384,0.54,0.8846,0.6706
LSG,0.386,0.5403,0.8846,0.6709
LSG,0.387,0.54,0.8836,0.6703
LSG,0.389,0.5397,0.8825,0.6698
LSG,0.39,0.5394,0.8815,0.6693
LSG,0.391,0.5391,0.8805,0.6688
LSG,0.393,0.5395,0.8805,0.669
LSG,0.395,0.5398,0.8805,0.6693
LSG,0.397,0.5395,0.8794,0.6688
LSG,0.397,0.5399,0.8794,0.669
LSG,0.398,0.5402,0.8794,0.6693
LSG,0.399,0.5406,0.8794,0.6696
LSG,0.399,0.5403,0.8784,0.669
LSG,0.402,0.5406,0.8784,0.6693
LSG,0.402,0.541,0.8784,0.6696
LSG,0.405,0.5407,0.8773,0.669
LSG,0.405,0.541,0.8773,0.6693
LSG,0.406,0.5414,0.8773,0.6696
LSG,0.406,0.5411,0.8763,0.669
LSG,0.407,0.5408,0.8753,0.6685
LSG,0.407,0.5411,0.8753,0.6688
LSG,0.408,0.5408,0.8742,0.6683
LSG,0.411,0.5412,0.8742,0.6685
LSG,0.411,0.5409,0.8732,0.668
LSG,0.412,0.5406,0.8721,0.6675
LSG,0.412,0.5409,0.8721,0.6677
LSG,0.413,0.5406,0.8711,0.6672
LSG,0.414,0.5403,0.8701,0.6667
LSG,0.414,0.5401,0.869,0.6661
LSG,0.415,0.5398,0.868,0.6656
LSG,0.415,0.5401,0.868,0.6659
LSG,0.415,0.5398,0.8669,0.6653
LSG,0.416,0.5395,0.8659,0.6648
LSG,0.416,0.5392,0.8649,0.6643
LSG,0.416,0.5396,0.8649,0.6645
LSG,0.417,0.5399,0.8649,0.6648
LSG,0.417,0.5396,0.8638,0.6643
LSG,0.417,0.54,0.8638,0.6645
LSG,0.418,0.5397,0.8628,0.664
LSG,0.419,0.54,0.8628,0.6643
LSG,0.42,0.5404,0.8628,0.6645
LSG,0.421,0.5407,0.8628,0.6648
LSG,0.421,0.5404,0.8617,0.6643
LSG,0.423,0.5401,0.8607,0.6637
LSG,0.425,0.5398,0.8597,0.6632
LSG,0.426,0.5402,0.8597,0.6635
LSG,0.426,0.5405,0.8597,0.6637
LSG,0.427,0.5409,0.8597,0.664
LSG,0.427,0.5412,0.8597,0.6643
LSG,0.428,0.5416,0.8597,0.6645
LSG,0.43,0.5419,0.8597,0.6648
LSG,0.43,0.5423,0.8597,0.6651
LSG,0.432,0.5427,0.8597,0.6653
LSG,0.432,0.543,0.8597,0.6656
LSG,0.433,0.5434,0.8597,0.6659
LSG,0.438,0.5437,0.8597,0.6661
LSG,0.439,0.5434,0.8586,0.6656
LSG,0.439,0.5438,0.8586,0.6659
LSG,0.441,0.5441,0.8586,0.6661
LSG,0.442,0.5438,0.8576,0.6656
LSG,0.442,0.5442,0.8576,0.6659
LSG,0.442,0.5446,0.8576,0.6661
LSG,0.442,0.5443,0.8565,0.6656
LSG,0.443,0.544,0.8555,0.6651
LSG,0.443,0.5443,0.8555,0.6653
LSG,0.444,0.5447,0.8555,0.6656
LSG,0.444,0.545,0.8555,0.6659
LSG,0.444,0.5454,0.8555,0.6661
LSG,0.446,0.5458,0.8555,0.6664
LSG,0.446,0.5455,0.8545,0.6659
LSG,0.446,0.5458,0.8545,0.6661
LSG,0.447,0.5455,0.8534,0.6656
LSG,0.447,0.5452,0.8524,0.665
LSG,0.448,0.5456,0.8524,0.6653
LSG,0.448,0.5459,0.8524,0.6656
LSG,0.448,0.5456,0.8514,0.665
LSG,0.448,0.5453,0.8503,0.6645
LSG,0.449,0.5457,0.8503,0.6648
LSG,0.449,0.5454,0.8493,0.6642
LSG,0.45,0.5451,0.8482,0.6637
LSG,0.451,0.5455,0.8482,0.664
LSG,0.452,0.5458,0.8482,0.6642
LSG,0.453,0.5462,0.8482,0.6645
LSG,0.457,0.5459,0.8472,0.664
LSG,0.458,0.5462,0.8472,0.6642
LSG,0.459,0.5459,0.8462,0.6637
LSG,0.46,0.5463,0.8462,0.6639
LSG,0.46,0.546,0.8451,0.6634
LSG,0.46,0.5464,0.8451,0.6637
LSG,0.461,0.5467,0.8451,0.6639
LSG,0.461,0.5471,0.8451,0.6642
LSG,0.462,0.5468,0.8441,0.6637
LSG,0.465,0.5472,0.8441,0.6639
LSG,0.465,0.5475,0.8441,0.6642
LSG,0.465,0.5479,0.8441,0.6645
LSG,0.466,0.5483,0.8441,0.6648
LSG,0.466,0.5486,0.8441,0.665
LSG,0.467,0.549,0.8441,0.6653
LSG,0.467,0.5494,0.8441,0.6656
LSG,0.469,0.5491,0.843,0.665
LSG,0.469,0.5495,0.843,0.6653
LSG,0.47,0.5492,0.842,0.6648
LSG,0.471,0.5488,0.841,0.6642
LSG,0.471,0.5492,0.841,0.6645
LSG,0.472,0.5496,0.841,0.6647
LSG,0.473,0.55,0.841,0.665
LSG,0.473,0.5503,0.841,0.6653
LSG,0.473,0.5507,0.841,0.6656
LSG,0.473,0.5504,0.8399,0.665
LSG,0.473,0.5508,0.8399,0.6653
LSG,0.474,0.5512,0.8399,0.6656
LSG,0.474,0.5515,0.8399,0.6658
LSG,0.474,0.5519,0.8399,0.6661
LSG,0.476,0.5516,0.8389,0.6656
LSG,0.476,0.5513,0.8378,0.665
LSG,0.478,0.5517,0.8378,0.6653
LSG,0.478,0.5514,0.8368,0.6647
LSG,0.479,0.5511,0.8358,0.6642
LSG,0.479,0.5514,0.8358,0.6645
LSG,0.48,0.5511,0.8347,0.6639
LSG,0.483,0.5515,0.8347,0.6642
LSG,0.483,0.5512,0.8337,0.6636
LSG,0.484,0.5509,0.8326,0.6631
LSG,0.484,0.5513,0.8326,0.6634
LSG,0.484,0.5517,0.8326,0.6636
LSG,0.485,0.5513,0.8316,0.6631
LSG,0.486,0.551,0.8306,0.6625
LSG,0.486,0.5514,0.8306,0.6628
LSG,0.486,0.5511,0.8295,0.6622
LSG,0.486,0.5508,0.8285,0.6617
LSG,0.488,0.5512,0.8285,0.662
LSG,0.491,0.5516,0.8285,0.6622
LSG,0.492,0.5512,0.8274,0.6617
LSG,0.493,0.5516,0.8274,0.662
LSG,0.493,0.552,0.8274,0.6622
LSG,0.495,0.5524,0.8274,0.6625
LSG,0.495,0.5521,0.8264,0.6619
LSG,0.495,0.5525,0.8264,0.6622
LSG,0.498,0.5529,0.8264,0.6625
LSG,0.499,0.5532,0.8264,0.6628
LSG,0.499,0.5536,0.8264,0.6631
LSG,0.499,0.554,0.8264,0.6633
LSG,0.499,0.5537,0.8254,0.6628
LSG,0.501,0.5534,0.8243,0.6622
LSG,0.501,0.5538,0.8243,0.6625
LSG,0.502,0.5542,0.8243,0.6628
LSG,0.502,0.5538,0.8233,0.6622
LSG,0.503,0.5542,0.8233,0.6625
LSG,0.505,0.5546,0.8233,0.6628
LSG,0.505,0.5543,0.8222,0.6622
LSG,0.505,0.554,0.8212,0.6616
LSG,0.506,0.5544,0.8212,0.6619
LSG,0.506,0.5541,0.8202,0.6614
LSG,0.507,0.5538,0.8191,0.6608
LSG,0.508,0.5541,0.8191,0.6611
LSG,0.508,0.5545,0.8191,0.6614
LSG,0.509,0.5542,0.8181,0.6608
LSG,0.51,0.5539,0.817,0.6602
LSG,0.511,0.5543,0.817,0.6605
LSG,0.512,0.5547,0.817,0.6608
LSG,0.513,0.5551,0.817,0.6611
LSG,0.514,0.5548,0.816,0.6605
LSG,0.514,0.5552,0.816,0.6608
LSG,0.514,0.5548,0.815,0.6602
LSG,0.515,0.5545,0.8139,0.6596
LSG,0.516,0.5549,0.8139,0.6599
LSG,0.516,0.5553,0.8139,0.6602
LSG,0.516,0.5557,0.8139,0.6605
LSG,0.517,0.5561,0.8139,0.6608
LSG,0.517,0.5565,0.8139,0.661
LSG,0.517,0.5569,0.8139,0.6613
LSG,0.517,0.5573,0.8139,0.6616
LSG,0.521,0.5577,0.8139,0.6619
LSG,0.523,0.5574,0.8129,0.6613
LSG,0.523,0.5578,0.8129,0.6616
LSG,0.523,0.5575,0.8119,0.661
LSG,0.524,0.5571,0.8108,0.6605
LSG,0.524,0.5575,0.8108,0.6607
LSG,0.526,0.5579,0.8108,0.661
LSG,0.527,0.5583,0.8108,0.6613
LSG,0.527,0.5587,0.8108,0.6616
LSG,0.528,0.5584,0.8098,0.661
LSG,0.528,0.5588,0.8098,0.6613
LSG,0.528,0.5592,0.8098,0.6616
LSG,0.529,0.5589,0.8087,0.661
LSG,0.529,0.5593,0.8087,0.6613
LSG,0.53,0.559,0.8077,0.6607
LSG,0.531,0.5594,0.8077,0.661
LSG,0.531,0.5598,0.8077,0.6613
LSG,0.532,0.5602,0.8077,0.6616
LSG,0.533,0.5599,0.8067,0.661
LSG,0.534,0.5603,0.8067,0.6613
LSG,0.534,0.5607,0.8067,0.6616
LSG,0.534,0.5611,0.8067,0.6618
LSG,0.534,0.5615,0.8067,0.6621
LSG,0.535,0.5612,0.8056,0.6615
LSG,0.535,0.5616,0.8056,0.6618
LSG,0.536,0.562,0.8056,0.6621
LSG,0.536,0.5624,0.8056,0.6624
LSG,0.536,0.5621,0.8046,0.6618
LSG,0.537,0.5625,0.8046,0.6621
LSG,0.538,0.5629,0.8046,0.6624
LSG,0.538,0.5626,0.8035,0.6618
LSG,0.539,0.563,0.8035,0.6621
LSG,0.539,0.5634,0.8035,0.6624
LSG,0.54,0.5638,0.8035,0.6627
LSG,0.54,0.5642,0.8035,0.663
LSG,0.54,0.5639,0.8025,0.6624
LSG,0.541,0.5643,0.8025,0.6627
LSG,0.541,0.5647,0.8025,0.6629
LSG,0.541,0.5644,0.8015,0.6624
LSG,0.542,0.5641,0.8004,0.6618
LSG,0.543,0.5638,0.7994,0.6612
LSG,0.543,0.5642,0.7994,0.6615
LSG,0.544,0.5639,0.7983,0.6609
LSG,0.544,0.5636,0.7973,0.6604
LSG,0.545,0.564,0.7973,0.6606
LSG,0.545,0.5644,0.7973,0.6609
LSG,0.546,0.5641,0.7963,0.6603
LSG,0.546,0.5645,0.7963,0.6606
LSG,0.546,0.5649,0.7963,0.6609
LSG,0.547,0.5646,0.7952,0.6603
LSG,0.547,0.5643,0.7942,0.6598
LSG,0.547,0.5639,0.7931,0.6592
LSG,0.549,0.5643,0.7931,0.6595
LSG,0.549,0.564,0.7921,0.6589
LSG,0.55,0.5644,0.7921,0.6592
LSG,0.553,0.5641,0.7911,0.6586
LSG,0.554,0.5645,0.7911,0.6589
LSG,0.554,0.5642,0.79,0.6583
LSG,0.554,0.5639,0.789,0.6577
LSG,0.555,0.5643,0.789,0.658
LSG,0.555,0.5647,0.789,0.6583
LSG,0.555,0.5652,0.789,0.6586
LSG,0.555,0.5648,0.7879,0.658
LSG,0.555,0.5652,0.7879,0.6583
LSG,0.556,0.5649,0.7869,0.6577
LSG,0.556,0.5646,0.7859,0.6571
LSG,0.556,0.565,0.7859,0.6574
LSG,0.556,0.5647,0.7848,0.6568
LSG,0.557,0.5651,0.7848,0.6571
LSG,0.557,0.5655,0.7848,0.6574
LSG,0.558,0.5652,0.7838,0.6568
LSG,0.558,0.5656,0.7838,0.6571
LSG,0.558,0.5653,0.7827,0.6565
LSG,0.558,0.565,0.7817,0.6559
LSG,0.559,0.5654,0.7817,0.6562
LSG,0.56,0.5651,0.7807,0.6556
LSG,0.56,0.5655,0.7807,0.6559
LSG,0.56,0.5659,0.7807,0.6562
LSG,0.56,0.5664,0.7807,0.6565
LSG,0.561,0.5668,0.7807,0.6568
LSG,0.561,0.5672,0.7807,0.657
LSG,0.562,0.5669,0.7796,0.6565
LSG,0.562,0.5673,0.7796,0.6567
LSG,0.562,0.567,0.7786,0.6562
LSG,0.563,0.5674,0.7786,0.6564
LSG,0.563,0.5671,0.7775,0.6559
LSG,0.563,0.5668,0.7765,0.6553
LSG,0.564,0.5664,0.7755,0.6547
LSG,0.565,0.5669,0.7755,0.655
LSG,0.565,0.5673,0.7755,0.6552
LSG,0.566,0.567,0.7744,0.6547
LSG,0.566,0.5674,0.7744,0.6549
LSG,0.567,0.5678,0.7744,0.6552
LSG,0.568,0.5675,0.7734,0.6546
LSG,0.568,0.5672,0.7723,0.654
LSG,0.568,0.5676,0.7723,0.6543
LSG,0.569,0.5673,0.7713,0.6537
LSG,0.569,0.5669,0.7703,0.6532
LSG,0.569,0.5674,0.7703,0.6534
LSG,0.569,0.5678,0.7703,0.6537
LSG,0.57,0.5683,0.7703,0.654
LSG,0.572,0.5687,0.7703,0.6543
LSG,0.573,0.5684,0.7692,0.6537
LSG,0.573,0.568,0.7682,0.6531
LSG,0.574,0.5685,0.7682,0.6534
LSG,0.574,0.5689,0.7682,0.6537
LSG,0.576,0.5686,0.7672,0.6531
LSG,0.576,0.569,0.7672,0.6534
LSG,0.576,0.5687,0.7661,0.6528
LSG,0.576,0.5683,0.7651,0.6522
LSG,0.578,0.5688,0.7651,0.6525
LSG,0.579,0.5684,0.764,0.6519
LSG,0.579,0.5689,0.764,0.6522
LSG,0.58,0.5686,0.763,0.6516
LSG,0.58,0.569,0.763,0.6519
LSG,0.58,0.5694,0.763,0.6522
LSG,0.58,0.5691,0.762,0.6516
LSG,0.581,0.5695,0.762,0.6518
LSG,0.582,0.57,0.762,0.6521
LSG,0.582,0.5704,0.762,0.6524
LSG,0.582,0.5701,0.7609,0.6518
LSG,0.583,0.5705,0.7609,0.6521
LSG,0.584,0.5702,0.7599,0.6515
LSG,0.585,0.5706,0.7599,0.6518
LSG,0.587,0.5711,0.7599,0.6521
LSG,0.587,0.5715,0.7599,0.6524
LSG,0.588,0.572,0.7599,0.6527
LSG,0.589,0.5724,0.7599,0.653
LSG,0.589,0.5721,0.7588,0.6524
LSG,0.589,0.5725,0.7588,0.6527
LSG,0.59,0.573,0.7588,0.653
LSG,0.591,0.5727,0.7578,0.6523
LSG,0.592,0.5723,0.7568,0.6517
LSG,0.592,0.572,0.7557,0.6511
LSG,0.593,0.5717,0.7547,0.6505
LSG,0.593,0.5713,0.7536,0.6499
LSG,0.593,0.571,0.7526,0.6493
LSG,0.594,0.5714,0.7526,0.6496
LSG,0.594,0.5711,0.7516,0.649
LSG,0.594,0.5715,0.7516,0.6493
LSG,0.595,0.572,0.7516,0.6496
LSG,0.595,0.5724,0.7516,0.6499
LSG,0.595,0.5729,0.7516,0.6502
LSG,0.595,0.5734,0.7516,0.6505
LSG,0.595,0.573,0.7505,0.6499
LSG,0.596,0.5735,0.7505,0.6502
LSG,0.597,0.5739,0.7505,0.6505
LSG,0.597,0.5736,0.7495,0.6498
LSG,0.598,0.5732,0.7484,0.6492
LSG,0.599,0.5737,0.7484,0.6495
LSG,0.599,0.5734,0.7474,0.6489
LSG,0.599,0.5738,0.7474,0.6492
LSG,0.6,0.5743,0.7474,0.6495
LSG,0.6,0.5747,0.7474,0.6498
LSG,0.601,0.5744,0.7464,0.6492
LSG,0.602,0.5741,0.7453,0.6486
LSG,0.603,0.5745,0.7453,0.6489
LSG,0.603,0.575,0.7453,0.6492
LSG,0.604,0.5754,0.7453,0.6495
LSG,0.604,0.5751,0.7443,0.6488
LSG,0.604,0.5756,0.7443,0.6491
LSG,0.604,0.576,0.7443,0.6494
LSG,0.605,0.5757,0.7432,0.6488
LSG,0.606,0.5761,0.7432,0.6491
LSG,0.606,0.5766,0.7432,0.6494
LSG,0.606,0.5763,0.7422,0.6488
LSG,0.607,0.5759,0.7412,0.6482
LSG,0.609,0.5756,0.7401,0.6476
LSG,0.61,0.5761,0.7401,0.6479
LSG,0.61,0.5765,0.7401,0.6482
LSG,0.611,0.5762,0.7391,0.6475
LSG,0.611,0.5758,0.738,0.6469
LSG,0.613,0.5763,0.738,0.6472
LSG,0.613,0.5768,0.738,0.6475
LSG,0.614,0.5764,0.737,0.6469
LSG,0.614,0.5769,0.737,0.6472
LSG,0.614,0.5765,0.736,0.6466
LSG,0.615,0.577,0.736,0.6469
LSG,0.615,0.5767,0.7349,0.6463
LSG,0.615,0.5763,0.7339,0.6456
LSG,0.615,0.576,0.7328,0.645
LSG,0.616,0.5765,0.7328,0.6453
LSG,0.616,0.5769,0.7328,0.6456
LSG,0.616,0.5774,0.7328,0.6459
LSG,0.618,0.5779,0.7328,0.6462
LSG,0.618,0.5783,0.7328,0.6465
LSG,0.619,0.578,0.7318,0.6459
LSG,0.619,0.5785,0.7318,0.6462
LSG,0.62,0.5789,0.7318,0.6465
LSG,0.62,0.5786,0.7308,0.6458
LSG,0.621,0.5791,0.7308,0.6461
LSG,0.621,0.5796,0.7308,0.6464
LSG,0.621,0.58,0.7308,0.6467
LSG,0.621,0.5805,0.7308,0.647
LSG,0.621,0.581,0.7308,0.6473
LSG,0.622,0.5815,0.7308,0.6476
LSG,0.622,0.582,0.7308,0.6479
LSG,0.622,0.5816,0.7297,0.6473
LSG,0.623,0.5813,0.7287,0.6467
LSG,0.624,0.5809,0.7277,0.6461
LSG,0.624,0.5806,0.7266,0.6454
LSG,0.624,0.5802,0.7256,0.6448
LSG,0.624,0.5807,0.7256,0.6451
LSG,0.624,0.5803,0.7245,0.6445
LSG,0.625,0.5808,0.7245,0.6448
LSG,0.625,0.5813,0.7245,0.6451
LSG,0.626,0.581,0.7235,0.6444
LSG,0.627,0.5815,0.7235,0.6447
LSG,0.627,0.5819,0.7235,0.645
LSG,0.627,0.5824,0.7235,0.6453
LSG,0.628,0.5821,0.7225,0.6447
LSG,0.628,0.5826,0.7225,0.645
LSG,0.628,0.5831,0.7225,0.6453
LSG,0.629,0.5827,0.7214,0.6447
LSG,0.629,0.5832,0.7214,0.645
LSG,0.629,0.5837,0.7214,0.6453
LSG,0.629,0.5833,0.7204,0.6447
LSG,0.631,0.5838,0.7204,0.645
LSG,0.632,0.5843,0.7204,0.6453
