model,threshold,precision,recall,f1
LSG,0.805,0.6169,0.3649,0.4585
LSG,0.805,0.618,0.3649,0.4588
LSG,0.806,0.6173,0.3638,0.4578
LSG,0.806,0.6166,0.3628,0.4568
LSG,0.806,0.6159,0.3617,0.4558
LSG,0.807,0.617,0.3617,0.4561
LSG,0.807,0.6181,0.3617,0.4564
LSG,0.807,0.6192,0.3617,0.4567
LSG,0.807,0.6185,0.3607,0.4557
LSG,0.807,0.6179,0.3597,0.4547
LSG,0.808,0.6172,0.3586,0.4536
LSG,0.808,0.6183,0.3586,0.4539
LSG,0.808,0.6176,0.3576,0.4529
LSG,0.808,0.6169,0.3565,0.4519
LSG,0.808,0.618,0.3565,0.4522
LSG,0.808,0.6173,0.3555,0.4512
LSG,0.809,0.6166,0.3545,0.4502
LSG,0.809,0.6159,0.3534,0.4491
LSG,0.81,0.6171,0.3534,0.4494
LSG,0.81,0.6182,0.3534,0.4497
LSG,0.81,0.6175,0.3524,0.4487
LSG,0.81,0.6168,0.3514,0.4477
LSG,0.811,0.6161,0.3503,0.4467
LSG,0.811,0.6154,0.3493,0.4456
LSG,0.811,0.6147,0.3482,0.4446
LSG,0.811,0.614,0.3472,0.4436
LSG,0.811,0.6133,0.3462,0.4425
LSG,0.811,0.6144,0.3462,0.4428
LSG,0.811,0.6137,0.3451,0.4418
LSG,0.812,0.613,0.3441,0.4407
LSG,0.812,0.6122,0.343,0.4397
LSG,0.812,0.6115,0.342,0.4387
LSG,0.812,0.6127,0.342,0.439
LSG,0.812,0.6119,0.341,0.4379
LSG,0.812,0.6112,0.3399,0.4369
LSG,0.812,0.6124,0.3399,0.4372
LSG,0.812,0.6135,0.3399,0.4375
LSG,0.812,0.6128,0.3389,0.4364
LSG,0.813,0.6121,0.3378,0.4354
LSG,0.813,0.6113,0.3368,0.4343
LSG,0.814,0.6125,0.3368,0.4346
LSG,0.814,0.6117,0.3358,0.4336
LSG,0.814,0.611,0.3347,0.4325
LSG,0.814,0.6103,0.3337,0.4315
LSG,0.814,0.6114,0.3337,0.4317
LSG,0.814,0.6107,0.3326,0.4307
LSG,0.814,0.6119,0.3326,0.431
LSG,0.814,0.613,0.3326,0.4313
LSG,0.815,0.6142,0.3326,0.4316
LSG,0.815,0.6154,0.3326,0.4318
LSG,0.815,0.6146,0.3316,0.4308
LSG,0.815,0.6158,0.3316,0.4311
LSG,0.815,0.6151,0.3306,0.43
LSG,0.816,0.6143,0.3295,0.429
LSG,0.816,0.6155,0.3295,0.4292
LSG,0.816,0.6148,0.3285,0.4282
LSG,0.816,0.614,0.3274,0.4271
LSG,0.817,0.6152,0.3274,0.4274
LSG,0.817,0.6164,0.3274,0.4277
LSG,0.817,0.6157,0.3264,0.4266
LSG,0.817,0.6149,0.3254,0.4256
LSG,0.818,0.6161,0.3254,0.4259
LSG,0.818,0.6154,0.3243,0.4248
LSG,0.818,0.6166,0.3243,0.4251
LSG,0.818,0.6158,0.3233,0.424
LSG,0.818,0.6171,0.3233,0.4243
LSG,0.818,0.6163,0.3222,0.4232
LSG,0.818,0.6175,0.3222,0.4235
LSG,0.819,0.6188,0.3222,0.4238
LSG,0.819,0.618,0.3212,0.4227
LSG,0.819,0.6192,0.3212,0.423
LSG,0.819,0.6185,0.3202,0.4219
LSG,0.82,0.6197,0.3202,0.4222
LSG,0.82,0.619,0.3191,0.4211
LSG,0.82,0.6202,0.3191,0.4214
LSG,0.82,0.6194,0.3181,0.4203
LSG,0.82,0.6207,0.3181,0.4206
LSG,0.821,0.622,0.3181,0.4209
LSG,0.821,0.6212,0.317,0.4198
LSG,0.821,0.6204,0.316,0.4187
LSG,0.821,0.6217,0.316,0.419
LSG,0.821,0.6209,0.315,0.4179
LSG,0.821,0.6201,0.3139,0.4168
LSG,0.821,0.6193,0.3129,0.4157
LSG,0.821,0.6186,0.3119,0.4147
LSG,0.822,0.6198,0.3119,0.4149
LSG,0.822,0.619,0.3108,0.4138
LSG,0.822,0.6183,0.3098,0.4127
LSG,0.822,0.6175,0.3087,0.4116
LSG,0.822,0.6188,0.3087,0.4119
LSG,0.822,0.62,0.3087,0.4122
LSG,0.822,0.6192,0.3077,0.4111
LSG,0.823,0.6184,0.3067,0.41
LSG,0.823,0.6197,0.3067,0.4103
LSG,0.823,0.6189,0.3056,0.4092
LSG,0.823,0.6181,0.3046,0.4081
LSG,0.824,0.6173,0.3035,0.407
LSG,0.824,0.6165,0.3025,0.4059
LSG,0.824,0.6157,0.3015,0.4047
LSG,0.824,0.617,0.3015,0.405
LSG,0.824,0.6162,0.3004,0.4039
LSG,0.824,0.6154,0.2994,0.4028
LSG,0.825,0.6167,0.2994,0.4031
LSG,0.825,0.6159,0.2983,0.402
LSG,0.825,0.6151,0.2973,0.4008
LSG,0.825,0.6164,0.2973,0.4011
LSG,0.825,0.6156,0.2963,0.4
LSG,0.826,0.6169,0.2963,0.4003
LSG,0.826,0.6182,0.2963,0.4006
LSG,0.826,0.6196,0.2963,0.4008
LSG,0.826,0.6209,0.2963,0.4011
LSG,0.826,0.6201,0.2952,0.4
LSG,0.826,0.6214,0.2952,0.4003
LSG,0.827,0.6206,0.2942,0.3992
LSG,0.827,0.6198,0.2931,0.398
LSG,0.827,0.6189,0.2921,0.3969
LSG,0.827,0.6181,0.2911,0.3958
LSG,0.827,0.6195,0.2911,0.396
LSG,0.827,0.6186,0.29,0.3949
LSG,0.828,0.62,0.29,0.3952
LSG,0.828,0.6214,0.29,0.3955
LSG,0.828,0.6228,0.29,0.3957
LSG,0.828,0.6219,0.289,0.3946
LSG,0.829,0.6233,0.289,0.3949
LSG,0.829,0.6225,0.2879,0.3937
LSG,0.829,0.6239,0.2879,0.394
LSG,0.829,0.623,0.2869,0.3929
LSG,0.829,0.6244,0.2869,0.3932
LSG,0.829,0.6236,0.2859,0.392
LSG,0.83,0.625,0.2859,0.3923
LSG,0.83,0.6241,0.2848,0.3911
LSG,0.83,0.6256,0.2848,0.3914
LSG,0.83,0.6247,0.2838,0.3903
LSG,0.83,0.6239,0.2827,0.3891
LSG,0.83,0.623,0.2817,0.388
LSG,0.831,0.6221,0.2807,0.3868
LSG,0.831,0.6212,0.2796,0.3857
LSG,0.831,0.6227,0.2796,0.3859
LSG,0.831,0.6218,0.2786,0.3848
LSG,0.831,0.6209,0.2775,0.3836
LSG,0.832,0.62,0.2765,0.3825
LSG,0.832,0.6192,0.2755,0.3813
LSG,0.832,0.6183,0.2744,0.3801
LSG,0.832,0.6174,0.2734,0.379
LSG,0.832,0.6188,0.2734,0.3792
LSG,0.832,0.6203,0.2734,0.3795
LSG,0.832,0.6194,0.2723,0.3783
LSG,0.832,0.6185,0.2713,0.3772
LSG,0.832,0.6176,0.2703,0.376
LSG,0.833,0.6167,0.2692,0.3748
LSG,0.833,0.6158,0.2682,0.3736
LSG,0.834,0.6148,0.2672,0.3725
LSG,0.834,0.6139,0.2661,0.3713
LSG,0.834,0.6154,0.2661,0.3716
LSG,0.834,0.6145,0.2651,0.3704
LSG,0.835,0.6159,0.2651,0.3706
LSG,0.835,0.615,0.264,0.3695
LSG,0.835,0.6165,0.264,0.3697
LSG,0.835,0.618,0.264,0.37
LSG,0.835,0.6171,0.263,0.3688
LSG,0.835,0.6161,0.262,0.3676
LSG,0.835,0.6176,0.262,0.3679
LSG,0.835,0.6192,0.262,0.3682
LSG,0.835,0.6182,0.2609,0.367
LSG,0.836,0.6173,0.2599,0.3658
LSG,0.837,0.6163,0.2588,0.3646
LSG,0.837,0.6154,0.2578,0.3634
LSG,0.837,0.6144,0.2568,0.3622
LSG,0.838,0.6135,0.2557,0.361
LSG,0.838,0.6125,0.2547,0.3598
LSG,0.838,0.614,0.2547,0.36
LSG,0.838,0.6156,0.2547,0.3603
LSG,0.838,0.6146,0.2536,0.3591
LSG,0.839,0.6136,0.2526,0.3579
LSG,0.839,0.6127,0.2516,0.3567
LSG,0.839,0.6117,0.2505,0.3555
LSG,0.839,0.6132,0.2505,0.3557
LSG,0.839,0.6148,0.2505,0.356
LSG,0.839,0.6164,0.2505,0.3562
LSG,0.839,0.6154,0.2495,0.355
LSG,0.84,0.617,0.2495,0.3553
LSG,0.84,0.616,0.2484,0.3541
LSG,0.84,0.615,0.2474,0.3529
LSG,0.84,0.614,0.2464,0.3516
LSG,0.841,0.613,0.2453,0.3504
LSG,0.841,0.612,0.2443,0.3492
LSG,0.842,0.6136,0.2443,0.3494
LSG,0.842,0.6126,0.2432,0.3482
LSG,0.842,0.6115,0.2422,0.347
LSG,0.842,0.6105,0.2412,0.3458
LSG,0.842,0.6121,0.2412,0.346
LSG,0.842,0.6111,0.2401,0.3448
LSG,0.843,0.6127,0.2401,0.345
LSG,0.843,0.6144,0.2401,0.3453
LSG,0.843,0.616,0.2401,0.3455
LSG,0.843,0.6176,0.2401,0.3458
LSG,0.843,0.6166,0.2391,0.3446
LSG,0.844,0.6156,0.238,0.3433
LSG,0.844,0.6146,0.237,0.3421
LSG,0.844,0.6162,0.237,0.3423
LSG,0.844,0.6179,0.237,0.3426
LSG,0.845,0.6168,0.236,0.3414
LSG,0.845,0.6185,0.236,0.3416
LSG,0.845,0.6175,0.2349,0.3404
LSG,0.845,0.6192,0.2349,0.3406
LSG,0.845,0.6181,0.2339,0.3394
LSG,0.845,0.6198,0.2339,0.3396
LSG,0.845,0.6188,0.2328,0.3384
LSG,0.846,0.6177,0.2318,0.3371
LSG,0.846,0.6194,0.2318,0.3374
LSG,0.846,0.6212,0.2318,0.3376
LSG,0.846,0.6201,0.2308,0.3364
LSG,0.846,0.619,0.2297,0.3351
LSG,0.846,0.618,0.2287,0.3338
LSG,0.847,0.6197,0.2287,0.3341
LSG,0.847,0.6215,0.2287,0.3343
LSG,0.847,0.6204,0.2277,0.3331
LSG,0.848,0.6193,0.2266,0.3318
LSG,0.848,0.6182,0.2256,0.3305
LSG,0.849,0.6171,0.2245,0.3293
LSG,0.849,0.616,0.2235,0.328
LSG,0.85,0.6178,0.2235,0.3282
LSG,0.85,0.6167,0.2225,0.327
LSG,0.85,0.6185,0.2225,0.3272
LSG,0.85,0.6203,0.2225,0.3275
LSG,0.85,0.6221,0.2225,0.3277
LSG,0.85,0.621,0.2214,0.3264
LSG,0.85,0.6199,0.2204,0.3252
LSG,0.85,0.6217,0.2204,0.3254
LSG,0.851,0.6206,0.2193,0.3241
LSG,0.851,0.6195,0.2183,0.3228
LSG,0.851,0.6183,0.2173,0.3215
LSG,0.851,0.6172,0.2162,0.3202
LSG,0.851,0.6161,0.2152,0.319
LSG,0.852,0.6179,0.2152,0.3192
LSG,0.852,0.6168,0.2141,0.3179
LSG,0.852,0.6186,0.2141,0.3181
LSG,0.852,0.6205,0.2141,0.3184
LSG,0.852,0.6224,0.2141,0.3186
LSG,0.852,0.6212,0.2131,0.3173
LSG,0.854,0.6201,0.2121,0.316
LSG,0.854,0.6189,0.211,0.3147
LSG,0.854,0.6177,0.21,0.3134
LSG,0.854,0.6166,0.2089,0.3121
LSG,0.854,0.6185,0.2089,0.3124
LSG,0.855,0.6173,0.2079,0.311
LSG,0.855,0.6161,0.2069,0.3097
LSG,0.855,0.6149,0.2058,0.3084
LSG,0.855,0.6137,0.2048,0.3071
LSG,0.855,0.6125,0.2037,0.3058
LSG,0.855,0.6144,0.2037,0.306
LSG,0.855,0.6132,0.2027,0.3047
LSG,0.856,0.6151,0.2027,0.3049
LSG,0.856,0.6139,0.2017,0.3036
LSG,0.857,0.6127,0.2006,0.3023
LSG,0.857,0.6146,0.2006,0.3025
LSG,0.857,0.6134,0.1996,0.3012
LSG,0.857,0.6154,0.1996,0.3014
LSG,0.857,0.6174,0.1996,0.3016
LSG,0.857,0.6194,0.1996,0.3019
LSG,0.858,0.6214,0.1996,0.3021
LSG,0.858,0.6201,0.1985,0.3008
LSG,0.858,0.6221,0.1985,0.301
LSG,0.858,0.6242,0.1985,0.3013
LSG,0.858,0.623,0.1975,0.2999
LSG,0.859,0.625,0.1975,0.3002
LSG,0.859,0.6238,0.1965,0.2988
LSG,0.859,0.6225,0.1954,0.2975
LSG,0.86,0.6213,0.1944,0.2961
LSG,0.86,0.62,0.1933,0.2948
LSG,0.86,0.6187,0.1923,0.2934
LSG,0.86,0.6208,0.1923,0.2937
LSG,0.86,0.6195,0.1913,0.2923
LSG,0.86,0.6216,0.1913,0.2925
LSG,0.86,0.6203,0.1902,0.2912
LSG,0.86,0.619,0.1892,0.2898
LSG,0.86,0.6212,0.1892,0.29
LSG,0.862,0.6199,0.1881,0.2887
LSG,0.862,0.6186,0.1871,0.2873
LSG,0.862,0.6172,0.1861,0.2859
LSG,0.862,0.6159,0.185,0.2846
LSG,0.862,0.6146,0.184,0.2832
LSG,0.862,0.6132,0.183,0.2818
LSG,0.863,0.6154,0.183,0.2821
LSG,0.863,0.614,0.1819,0.2807
LSG,0.863,0.6162,0.1819,0.2809
LSG,0.863,0.6148,0.1809,0.2795
LSG,0.863,0.6135,0.1798,0.2781
LSG,0.863,0.6121,0.1788,0.2767
LSG,0.863,0.6107,0.1778,0.2754
LSG,0.864,0.6093,0.1767,0.274
LSG,0.864,0.6115,0.1767,0.2742
LSG,0.864,0.6137,0.1767,0.2744
LSG,0.864,0.6159,0.1767,0.2746
LSG,0.864,0.6145,0.1757,0.2732
LSG,0.864,0.6131,0.1746,0.2718
LSG,0.864,0.6154,0.1746,0.2721
LSG,0.865,0.6176,0.1746,0.2723
LSG,0.865,0.6162,0.1736,0.2709
LSG,0.865,0.6185,0.1736,0.2711
LSG,0.865,0.6171,0.1726,0.2697
LSG,0.865,0.6157,0.1715,0.2683
LSG,0.865,0.6142,0.1705,0.2669
LSG,0.865,0.6128,0.1694,0.2655
LSG,0.866,0.6151,0.1694,0.2657
LSG,0.866,0.6136,0.1684,0.2643
LSG,0.866,0.6122,0.1674,0.2629
LSG,0.866,0.6145,0.1674,0.2631
LSG,0.866,0.613,0.1663,0.2617
LSG,0.867,0.6115,0.1653,0.2602
LSG,0.867,0.6139,0.1653,0.2604
LSG,0.867,0.6124,0.1642,0.259
LSG,0.868,0.6148,0.1642,0.2592
LSG,0.868,0.6133,0.1632,0.2578
LSG,0.868,0.6118,0.1622,0.2564
LSG,0.868,0.6102,0.1611,0.2549
LSG,0.868,0.6087,0.1601,0.2535
LSG,0.869,0.6111,0.1601,0.2537
LSG,0.869,0.6096,0.159,0.2523
LSG,0.869,0.612,0.159,0.2525
LSG,0.869,0.6145,0.159,0.2527
LSG,0.869,0.6129,0.158,0.2512
LSG,0.869,0.6113,0.157,0.2498
LSG,0.869,0.6098,0.1559,0.2483
LSG,0.869,0.6082,0.1549,0.2469
LSG,0.869,0.6066,0.1538,0.2454
LSG,0.869,0.6049,0.1528,0.244
LSG,0.87,0.6074,0.1528,0.2442
LSG,0.87,0.6058,0.1518,0.2427
LSG,0.87,0.6042,0.1507,0.2413
LSG,0.87,0.6067,0.1507,0.2415
LSG,0.87,0.605,0.1497,0.24
LSG,0.87,0.6034,0.1486,0.2385
LSG,0.87,0.6017,0.1476,0.2371
LSG,0.871,0.6043,0.1476,0.2373
LSG,0.871,0.6026,0.1466,0.2358
LSG,0.871,0.6052,0.1466,0.236
LSG,0.872,0.6034,0.1455,0.2345
LSG,0.872,0.6017,0.1445,0.233
LSG,0.872,0.6043,0.1445,0.2332
LSG,0.872,0.6026,0.1435,0.2317
LSG,0.872,0.6009,0.1424,0.2303
LSG,0.872,0.5991,0.1414,0.2288
LSG,0.872,0.6018,0.1414,0.229
LSG,0.872,0.6,0.1403,0.2275
LSG,0.873,0.5982,0.1393,0.226
LSG,0.873,0.5964,0.1383,0.2245
LSG,0.873,0.5991,0.1383,0.2247
LSG,0.873,0.5973,0.1372,0.2232
LSG,0.873,0.5955,0.1362,0.2217
LSG,0.874,0.5936,0.1351,0.2202
LSG,0.874,0.5963,0.1351,0.2203
LSG,0.874,0.5991,0.1351,0.2205
LSG,0.874,0.6019,0.1351,0.2207
LSG,0.874,0.6,0.1341,0.2192
LSG,0.875,0.6028,0.1341,0.2194
LSG,0.875,0.6009,0.1331,0.2179
LSG,0.875,0.5991,0.132,0.2164
LSG,0.875,0.5972,0.131,0.2148
LSG,0.875,0.5952,0.1299,0.2133
LSG,0.876,0.5933,0.1289,0.2118
LSG,0.876,0.5962,0.1289,0.212
LSG,0.876,0.599,0.1289,0.2121
LSG,0.877,0.5971,0.1279,0.2106
LSG,0.877,0.5951,0.1268,0.2091
LSG,0.877,0.5931,0.1258,0.2075
LSG,0.877,0.5911,0.1247,0.206
LSG,0.877,0.5941,0.1247,0.2062
LSG,0.877,0.597,0.1247,0.2064
LSG,0.878,0.595,0.1237,0.2048
LSG,0.878,0.598,0.1237,0.205
LSG,0.878,0.596,0.1227,0.2034
LSG,0.878,0.5939,0.1216,0.2019
LSG,0.878,0.5918,0.1206,0.2003
LSG,0.878,0.5897,0.1195,0.1988
LSG,0.878,0.5928,0.1195,0.199
LSG,0.879,0.5959,0.1195,0.1991
LSG,0.879,0.5938,0.1185,0.1976
LSG,0.879,0.5916,0.1175,0.196
LSG,0.879,0.5895,0.1164,0.1944
LSG,0.879,0.5926,0.1164,0.1946
LSG,0.88,0.5904,0.1154,0.193
LSG,0.88,0.5936,0.1154,0.1932
LSG,0.881,0.5914,0.1143,0.1916
LSG,0.881,0.5946,0.1143,0.1918
LSG,0.881,0.5924,0.1133,0.1902
LSG,0.881,0.5902,0.1123,0.1886
LSG,0.881,0.5879,0.1112,0.1871
LSG,0.882,0.5856,0.1102,0.1855
LSG,0.882,0.5833,0.1091,0.1839
LSG,0.882,0.581,0.1081,0.1823
LSG,0.882,0.5787,0.1071,0.1807
LSG,0.882,0.5763,0.106,0.1791
LSG,0.883,0.5795,0.106,0.1793
LSG,0.883,0.5771,0.105,0.1777
LSG,0.883,0.5747,0.104,0.1761
LSG,0.883,0.5723,0.1029,0.1744
LSG,0.883,0.5756,0.1029,0.1746
LSG,0.883,0.5731,0.1019,0.173
LSG,0.883,0.5706,0.1008,0.1714
LSG,0.884,0.574,0.1008,0.1715
LSG,0.884,0.5774,0.1008,0.1717
LSG,0.884,0.5808,0.1008,0.1718
LSG,0.884,0.5843,0.1008,0.172
LSG,0.884,0.5818,0.0998,0.1704
LSG,0.884,0.5793,0.0988,0.1687
LSG,0.885,0.5828,0.0988,0.1689
LSG,0.885,0.5864,0.0988,0.169
LSG,0.885,0.5839,0.0977,0.1674
LSG,0.886,0.5813,0.0967,0.1658
LSG,0.886,0.5786,0.0956,0.1641
LSG,0.886,0.5823,0.0956,0.1643
LSG,0.886,0.5796,0.0946,0.1626
LSG,0.886,0.5769,0.0936,0.161
LSG,0.886,0.5742,0.0925,0.1594
LSG,0.886,0.5714,0.0915,0.1577
LSG,0.887,0.5752,0.0915,0.1578
LSG,0.887,0.5789,0.0915,0.158
LSG,0.887,0.5828,0.0915,0.1581
LSG,0.888,0.58,0.0904,0.1565
LSG,0.888,0.5772,0.0894,0.1548
LSG,0.888,0.5811,0.0894,0.155
LSG,0.888,0.585,0.0894,0.1551
LSG,0.889,0.5822,0.0884,0.1534
LSG,0.89,0.5793,0.0873,0.1518
LSG,0.891,0.5833,0.0873,0.1519
LSG,0.892,0.5874,0.0873,0.152
LSG,0.892,0.5845,0.0863,0.1504
LSG,0.892,0.5887,0.0863,0.1505
LSG,0.892,0.5857,0.0852,0.1488
LSG,0.893,0.5827,0.0842,0.1471
LSG,0.893,0.587,0.0842,0.1473
LSG,0.893,0.5839,0.0832,0.1456
LSG,0.893,0.5882,0.0832,0.1457
LSG,0.894,0.5926,0.0832,0.1459
LSG,0.894,0.597,0.0832,0.146
LSG,0.894,0.594,0.0821,0.1443
LSG,0.894,0.5985,0.0821,0.1444
LSG,0.895,0.5954,0.0811,0.1427
LSG,0.895,0.6,0.0811,0.1429
LSG,0.895,0.6047,0.0811,0.143
LSG,0.896,0.6016,0.08,0.1413
LSG,0.896,0.6063,0.08,0.1414
LSG,0.896,0.6032,0.079,0.1397
LSG,0.897,0.608,0.079,0.1398
LSG,0.897,0.6129,0.079,0.14
LSG,0.897,0.6098,0.078,0.1382
LSG,0.897,0.6066,0.0769,0.1365
LSG,0.897,0.6116,0.0769,0.1367
LSG,0.898,0.6083,0.0759,0.1349
LSG,0.898,0.605,0.0748,0.1332
LSG,0.898,0.6017,0.0738,0.1315
LSG,0.899,0.6068,0.0738,0.1316
LSG,0.899,0.6121,0.0738,0.1317
LSG,0.899,0.6087,0.0728,0.13
LSG,0.899,0.6053,0.0717,0.1283
LSG,0.9,0.6018,0.0707,0.1265
LSG,0.9,0.5982,0.0696,0.1248
LSG,0.901,0.6036,0.0696,0.1249
LSG,0.901,0.6091,0.0696,0.125
LSG,0.901,0.6147,0.0696,0.1251
LSG,0.901,0.6111,0.0686,0.1234
LSG,0.901,0.6075,0.0676,0.1216
LSG,0.902,0.6132,0.0676,0.1217
LSG,0.902,0.619,0.0676,0.1218
LSG,0.902,0.6154,0.0665,0.1201
LSG,0.902,0.6214,0.0665,0.1202
LSG,0.903,0.6275,0.0665,0.1203
LSG,0.904,0.6337,0.0665,0.1204
LSG,0.904,0.64,0.0665,0.1205
LSG,0.904,0.6364,0.0655,0.1188
LSG,0.904,0.6327,0.0644,0.117
LSG,0.904,0.6392,0.0644,0.1171
LSG,0.905,0.6354,0.0634,0.1153
LSG,0.905,0.6316,0.0624,0.1135
LSG,0.905,0.6383,0.0624,0.1136
LSG,0.905,0.6344,0.0613,0.1118
LSG,0.905,0.6304,0.0603,0.1101
LSG,0.905,0.6374,0.0603,0.1102
LSG,0.905,0.6333,0.0593,0.1084
LSG,0.905,0.6404,0.0593,0.1085
LSG,0.906,0.6364,0.0582,0.1067
LSG,0.906,0.6322,0.0572,0.1049
LSG,0.906,0.6279,0.0561,0.1031
LSG,0.906,0.6235,0.0551,0.1012
LSG,0.906,0.619,0.0541,0.0994
LSG,0.906,0.6265,0.0541,0.0995
LSG,0.906,0.622,0.053,0.0977
LSG,0.907,0.6296,0.053,0.0978
LSG,0.907,0.625,0.052,0.096
LSG,0.908,0.6203,0.0509,0.0941
LSG,0.908,0.6154,0.0499,0.0923
LSG,0.908,0.6104,0.0489,0.0905
LSG,0.909,0.6053,0.0478,0.0886
LSG,0.909,0.6133,0.0478,0.0887
LSG,0.909,0.6216,0.0478,0.0888
LSG,0.91,0.6164,0.0468,0.087
LSG,0.911,0.6111,0.0457,0.0851
LSG,0.912,0.6197,0.0457,0.0852
LSG,0.912,0.6143,0.0447,0.0833
LSG,0.912,0.6087,0.0437,0.0815
LSG,0.912,0.6029,0.0426,0.0796
LSG,0.912,0.6119,0.0426,0.0797
LSG,0.913,0.6061,0.0416,0.0778
LSG,0.914,0.6,0.0405,0.0759
LSG,0.914,0.5938,0.0395,0.0741
LSG,0.915,0.5873,0.0385,0.0722
LSG,0.915,0.5806,0.0374,0.0703
LSG,0.916,0.5738,0.0364,0.0684
LSG,0.916,0.5667,0.0353,0.0665
LSG,0.917,0.5763,0.0353,0.0666
LSG,0.917,0.569,0.0343,0.0647
LSG,0.917,0.5614,0.0333,0.0628
LSG,0.918,0.5536,0.0322,0.0609
LSG,0.918,0.5455,0.0312,0.059
LSG,0.918,0.537,0.0301,0.0571
LSG,0.919,0.5283,0.0291,0.0552
LSG,0.919,0.5385,0.0291,0.0552
LSG,0.919,0.5294,0.0281,0.0533
LSG,0.92,0.54,0.0281,0.0534
LSG,0.92,0.5306,0.027,0.0514
LSG,0.921,0.5208,0.026,0.0495
LSG,0.921,0.5106,0.0249,0.0476
LSG,0.922,0.5217,0.0249,0.0476
LSG,0.922,0.5333,0.0249,0.0477
LSG,0.923,0.5227,0.0239,0.0457
LSG,0.924,0.5116,0.0229,0.0438
LSG,0.925,0.5,0.0218,0.0418
LSG,0.925,0.5122,0.0218,0.0419
LSG,0.926,0.5,0.0208,0.0399
LSG,0.926,0.5128,0.0208,0.04
LSG,0.928,0.5263,0.0208,0.04
LSG,0.928,0.5405,0.0208,0.04
LSG,0.928,0.5278,0.0198,0.0381
LSG,0.928,0.5429,0.0198,0.0381
LSG,0.928,0.5294,0.0187,0.0361
LSG,0.929,0.5455,0.0187,0.0362
LSG,0.929,0.5625,0.0187,0.0362
LSG,0.929,0.5484,0.0177,0.0342
LSG,0.93,0.5333,0.0166,0.0323
LSG,0.93,0.5517,0.0166,0.0323
LSG,0.93,0.5357,0.0156,0.0303
LSG,0.93,0.5185,0.0146,0.0283
LSG,0.931,0.5385,0.0146,0.0283
LSG,0.931,0.52,0.0135,0.0263
LSG,0.932,0.5417,0.0135,0.0264
LSG,0.932,0.5652,0.0135,0.0264
LSG,0.932,0.5909,0.0135,0.0264
LSG,0.933,0.5714,0.0125,0.0244
LSG,0.933,0.55,0.0114,0.0224
LSG,0.933,0.5263,0.0104,0.0204
LSG,0.934,0.5,0.0094,0.0184
LSG,0.935,0.5294,0.0094,0.0184
LSG,0.936,0.5,0.0083,0.0164
LSG,0.937,0.4667,0.0073,0.0143
LSG,0.937,0.4286,0.0062,0.0123
LSG,0.937,0.4615,0.0062,0.0123
LSG,0.937,0.5,0.0062,0.0123
LSG,0.938,0.4545,0.0052,0.0103
LSG,0.939,0.4,0.0042,0.0082
LSG,0.939,0.4444,0.0042,0.0082
LSG,0.94,0.375,0.0031,0.0062
LSG,0.943,0.4286,0.0031,0.0062
LSG,0.945,0.5,0.0031,0.0062
LSG,0.945,0.6,0.0031,0.0062
LSG,0.948,0.75,0.0031,0.0062
LSG,0.948,0.6667,0.0021,0.0041
LSG,0.951,0.5,0.001,0.0021
LSG,0.963,0.0,0.0,0.0
Baseline,0.318,0.5344,1.0,0.6966
Baseline,0.427,0.5347,1.0,0.6968
Baseline,0.434,0.5345,0.999,0.6964
Baseline,0.445,0.5342,0.9979,0.6959
Baseline,0.453,0.5345,0.9979,0.6962
Baseline,0.453,0.5343,0.9969,0.6957
Baseline,0.459,0.5346,0.9969,0.6959
Baseline,0.461,0.5343,0.9958,0.6955
Baseline,0.466,0.5346,0.9958,0.6957
Baseline,0.475,0.5349,0.9958,0.696
Baseline,0.481,0.5352,0.9958,0.6962
Baseline,0.488,0.5349,0.9948,0.6957
Baseline,0.504,0.5352,0.9948,0.696
Baseline,0.505,0.535,0.9938,0.6955
Baseline,0.505,0.5353,0.9938,0.6958
Baseline,0.508,0.535,0.9927,0.6953
Baseline,0.51,0.5348,0.9917,0.6948
Baseline,0.516,0.5345,0.9906,0.6944
Baseline,0.516,0.5342,0.9896,0.6939
Baseline,0.519,0.5345,0.9896,0.6941
Baseline,0.519,0.5343,0.9886,0.6937
Baseline,0.519,0.5346,0.9886,0.6939
Baseline,0.52,0.5343,0.9875,0.6934
Baseline,0.526,0.5346,0.9875,0.6937
Baseline,0.529,0.5343,0.9865,0.6932
Baseline,0.529,0.5346,0.9865,0.6935
Baseline,0.53,0.5349,0.9865,0.6937
Baseline,0.533,0.5347,0.9854,0.6932
Baseline,0.542,0.5344,0.9844,0.6928
Baseline,0.542,0.5347,0.9844,0.693
Baseline,0.542,0.5345,0.9834,0.6925
Baseline,0.542,0.5348,0.9834,0.6928
Baseline,0.548,0.5345,0.9823,0.6923
Baseline,0.549,0.5342,0.9813,0.6918
Baseline,0.549,0.534,0.9802,0.6913
Baseline,0.554,0.5343,0.9802,0.6916
Baseline,0.557,0.534,0.9792,0.6911
Baseline,0.559,0.5337,0.9782,0.6906
Baseline,0.562,0.5341,0.9782,0.6909
Baseline,0.562,0.5338,0.9771,0.6904
Baseline,0.564,0.5341,0.9771,0.6907
Baseline,0.564,0.5344,0.9771,0.6909
Baseline,0.568,0.5347,0.9771,0.6912
Baseline,0.569,0.5344,0.9761,0.6907
Baseline,0.572,0.5347,0.9761,0.6909
Baseline,0.572,0.535,0.9761,0.6912
