pc1,pc2,label
-0.2459,-0.0335,IGNORE
0.2082,-0.1745,IGNORE
0.1097,0.198,IGNORE
0.0411,0.0501,IGNORE
-0.1475,0.191,IGNORE
-0.1649,0.1275,IGNORE
-0.1191,-0.0745,IGNORE
0.1858,0.2253,IGNORE
0.108,0.1194,IGNORE
-0.2006,-0.0478,IGNORE
-0.081,-0.1857,IGNORE
0.1367,-0.026,IGNORE
0.2412,0.1871,IGNORE
-0.1087,0.0325,IGNORE
-0.1176,0.0655,IGNORE
0.0298,-0.1021,IGNORE
-0.1039,0.0092,IGNORE
0.2424,-0.2761,IGNORE
-0.1913,0.16,IGNORE
0.0246,-0.0807,IGNORE
-0.0536,0.0243,IGNORE
0.2063,-0.0137,IGNORE
-0.1497,-0.0838,IGNORE
0.0523,0.3051,IGNORE
0.1833,-0.0548,IGNORE
-0.028,0.2274,IGNORE
-0.216,-0.0497,IGNORE
0.0613,-0.0951,IGNORE
-0.1796,0.0601,IGNORE
-0.0045,0.027,IGNORE
0.0071,-0.0946,IGNORE
-0.257,-0.1911,IGNORE
0.2325,0.2592,IGNORE
0.1803,-0.0507,IGNORE
0.372,-0.482,IGNORE
0.2974,0.0854,IGNORE
-0.1939,0.0377,IGNORE
0.0381,0.0287,IGNORE
0.1724,-0.054,IGNORE
0.3315,-0.0778,IGNORE
0.2801,-0.5125,IGNORE
0.3522,0.0453,IGNORE
0.034,-0.0979,IGNORE
0.1525,-0.2363,IGNORE
-0.0678,0.0568,IGNORE
-0.1425,-0.0969,IGNORE
-0.1739,0.1167,IGNORE
-0.0356,-0.0977,IGNORE
-0.0133,-0.246,IGNORE
0.0595,0.1753,IGNORE
0.3614,-0.3839,IGNORE
-0.1073,0.1004,IGNORE
-0.2045,-0.1373,IGNORE
-0.2338,0.1126,IGNORE
0.1244,0.0188,IGNORE
-0.2259,0.1026,IGNORE
0.2928,0.2382,IGNORE
0.2267,0.3185,IGNORE
0.2212,0.0897,IGNORE
0.1285,0.0811,IGNORE
0.4154,0.2154,IGNORE
0.0062,-0.189,IGNORE
0.2016,-0.2445,IGNORE
-0.2756,-0.207,IGNORE
0.0223,0.0014,IGNORE
0.0013,0.1437,IGNORE
0.0492,-0.2056,IGNORE
0.4572,-0.422,IGNORE
-0.1646,-0.0887,IGNORE
0.2519,0.1077,IGNORE
0.1342,0.2384,IGNORE
-0.2459,-0.2656,IGNORE
-0.1647,0.0053,IGNORE
0.1607,0.2065,IGNORE
0.2325,-0.409,IGNORE
0.1719,0.3413,IGNORE
-0.1514,-0.3061,IGNORE
-0.0221,0.1499,IGNORE
-0.0772,-0.0114,IGNORE
-0.1521,0.1928,IGNORE
0.0477,-0.1956,IGNORE
-0.223,-0.0097,IGNORE
-0.1643,-0.0707,IGNORE
-0.0551,0.1244,IGNORE
0.01,-0.034,IGNORE
-0.0015,0.0945,IGNORE
0.0365,-0.1569,IGNORE
0.4195,-0.5139,IGNORE
-0.1266,0.2449,IGNORE
-0.0845,0.0067,IGNORE
0.0273,0.0472,IGNORE
0.1394,0.2647,IGNORE
-0.0899,-0.0212,IGNORE
0.1249,0.0402,IGNORE
-0.2176,0.1517,IGNORE
0.0459,-0.0806,IGNORE
-0.239,0.0525,IGNORE
0.174,-0.0209,IGNORE
-0.1206,0.0557,IGNORE
-0.0392,0.2776,IGNORE
-0.0893,0.062,IGNORE
-0.0914,0.0363,IGNORE
-0.2901,0.0458,IGNORE
0.0169,0.0887,IGNORE
0.1122,0.0288,IGNORE
0.224,-0.414,IGNORE
-0.0527,0.0344,IGNORE
0.2216,-0.1748,IGNORE
-0.0421,0.0675,IGNORE
-0.1538,0.0047,IGNORE
0.005,0.1787,IGNORE
-0.2909,-0.103,IGNORE
-0.0256,0.159,IGNORE
-0.0709,-0.0047,IGNORE
-0.2649,0.1614,IGNORE
0.0317,-0.0394,IGNORE
0.0802,-0.1685,IGNORE
0.1432,-0.1145,IGNORE
-0.2793,0.0319,IGNORE
-0.1725,0.1856,IGNORE
-0.0701,0.0654,IGNORE
-0.0532,-0.0108,IGNORE
0.0404,-0.1321,IGNORE
-0.0636,0.1051,IGNORE
0.1235,-0.0174,IGNORE
0.1016,-0.204,IGNORE
-0.0546,0.1831,IGNORE
-0.2144,0.2333,IGNORE
-0.0255,-0.1406,IGNORE
-0.2724,0.0598,IGNORE
-0.1639,-0.0003,IGNORE
-0.001,0.0474,IGNORE
0.0299,0.0524,IGNORE
0.2842,-0.44,IGNORE
-0.0504,-0.1535,IGNORE
-0.1781,0.02,IGNORE
0.0461,-0.0427,IGNORE
-0.266,-0.036,IGNORE
0.0874,0.0766,IGNORE
0.2445,-0.5466,IGNORE
-0.1643,0.032,IGNORE
-0.0094,0.051,IGNORE
-0.107,0.0532,IGNORE
-0.1967,-0.1886,IGNORE
-0.2685,0.0451,IGNORE
0.1775,0.2634,IGNORE
0.0217,0.2232,IGNORE
-0.0072,0.0589,IGNORE
0.2745,-0.3889,IGNORE
0.1055,0.038,IGNORE
-0.1689,-0.0083,IGNORE
0.35,0.1054,IGNORE
0.1168,0.19,IGNORE
-0.0473,0.1082,IGNORE
-0.059,-0.2822,IGNORE
-0.0036,-0.0942,IGNORE
-0.1893,0.0091,IGNORE
0.0676,-0.0157,IGNORE
0.3062,0.0626,IGNORE
0.1216,0.1941,IGNORE
-0.2267,-0.3052,IGNORE
0.2876,-0.5444,IGNORE
-0.0396,-0.2247,IGNORE
0.2497,0.0739,IGNORE
0.0826,0.0081,IGNORE
-0.1526,0.0282,IGNORE
-0.1638,0.0023,IGNORE
-0.0474,-0.1045,IGNORE
0.0847,-0.0505,IGNORE
-0.0159,-0.2373,IGNORE
0.0506,-0.0888,IGNORE
0.2756,0.0515,IGNORE
-0.0198,0.072,IGNORE
0.1794,-0.3016,IGNORE
0.1558,-0.2569,IGNORE
0.2454,-0.4567,IGNORE
0.0336,0.1349,IGNORE
-0.0025,0.2543,IGNORE
-0.0271,0.0252,IGNORE
0.1814,-0.0418,IGNORE
-0.0709,-0.0368,IGNORE
-0.0857,0.1234,IGNORE
-0.1107,-0.1008,IGNORE
0.0415,-0.1024,IGNORE
0.1924,-0.2461,IGNORE
-0.1254,0.0465,IGNORE
0.3284,-0.407,IGNORE
0.312,-0.5377,IGNORE
0.2393,-0.0659,IGNORE
0.26,-0.3811,IGNORE
-0.1659,-0.0579,IGNORE
0.1273,0.0922,IGNORE
-0.134,0.0646,IGNORE
0.4162,0.1436,IGNORE
0.225,-0.0027,IGNORE
0.1797,-0.0543,IGNORE
-0.0263,-0.2114,IGNORE
-0.2564,-0.1281,IGNORE
0.0616,0.0296,IGNORE
0.4609,-0.0376,IGNORE
-0.1875,0.0265,IGNORE
